Timestamp,Sex,Age,Status,Satisfaction,,Do you feel safe in Split?,Perception of police?,,Mobile phone,Landline,Laptop,Internet Cafe,Cable TV,Satelite TV
07/11/2020 07:01:40,1,2,2,3,,2,3,,5,1,3,1,3,1
07/11/2020 14:53:25,1,3,2,4,,4,4,,5,1,5,1,5,5
07/11/2020 14:55:21,1,2,2,2,,2,2,,5,1,5,1,1,1
07/11/2020 14:58:26,1,1,1,3,,4,3,,5,1,5,1,3,3
07/11/2020 15:09:02,2,1,1,3,,4,3,,5,1,5,3,1,1
07/11/2020 15:13:57,1,2,2,3,,4,2,,5,1,4,1,1,2
07/11/2020 15:21:47,1,3,2,2,,5,4,,5,1,5,3,5,1
07/11/2020 15:24:29,2,3,2,5,,5,4,,3,1,2,1,3,1
07/11/2020 15:29:13,1,3,4,2,,4,3,,4,1,3,2,1,1
07/11/2020 15:30:32,1,1,2,2,,4,3,,5,1,3,1,3,1
07/11/2020 15:30:58,1,3,2,1,,4,3,,5,1,1,1,5,1
07/11/2020 15:31:51,2,3,2,2,,3,3,,5,2,2,2,2,2
07/11/2020 15:33:45,1,3,2,3,,4,3,,5,4,4,2,3,2
07/11/2020 15:35:01,2,3,2,2,,4,4,,5,3,5,4,4,4
07/11/2020 15:36:33,2,2,2,2,,4,3,,5,1,5,2,5,4
07/11/2020 15:36:57,1,3,2,1,,4,2,,5,1,5,1,5,1
07/11/2020 15:37:17,2,3,2,2,,4,4,,4,1,2,1,1,4
07/11/2020 15:40:20,1,3,2,3,,4,4,,5,3,3,1,5,1
07/11/2020 15:41:41,2,3,2,2,,3,2,,5,1,5,1,1,5
07/11/2020 15:42:30,2,3,2,3,,4,3,,5,2,4,1,4,1
07/11/2020 15:42:34,2,3,2,3,,4,4,,5,3,4,1,3,1
07/11/2020 15:42:51,2,3,2,4,,4,3,,4,1,3,1,5,5
07/11/2020 15:43:00,2,3,2,3,,4,3,,5,2,1,2,1,5
07/11/2020 15:44:35,1,3,2,1,,4,4,,5,4,4,1,4,4
07/11/2020 15:44:38,2,3,2,2,,3,1,,5,1,4,2,1,1
